Record ID,Date,Country,City,Temperature (°C),Humidity (%),Precipitation (mm),Air Quality Index (AQI),Extreme Weather Events,Climate Classification,Climate_Zone,Biome_Type,Heat_Index,Wind_Speed,Wind_Direction,Season,Population_Exposure,Economic_Impact_Estimate,Infrastructure_Vulnerability_Score
usa_1,1/1/2024,USA,New York,19,94,48.1,340,Hurricane,Koeppen-B,Temperate,Grassland,23.7,26.6,NW,Winter,5016422,14861831.18,3
usa_2,1/2/2024,USA,New York,-0.5,56,108.4,451,Hurricane,Koeppen-D,Temperate,Desert,2.3,15.7,SW,Winter,9865131,61696763.57,9
usa_3,1/3/2024,USA,New York,9.1,94,115.9,423,None,Koeppen-D,Temperate,Grassland,13.8,30.8,W,Winter,4232115,41728165.97,3
usa_4,1/4/2024,USA,New York,5.2,90,119.9,104,Hurricane,Koeppen-B,Temperate,Tundra,9.7,9.5,SW,Winter,8624056,2805345.35,5
usa_5,1/5/2024,USA,New York,10,76,29.8,370,None,Koeppen-B,Temperate,Tundra,13.8,23.9,SE,Winter,5031046,21424550.56,1
usa_6,1/6/2024,USA,New York,35.3,54,162.2,202,Heatwave,Koeppen-B,Temperate,Wetland,38,21.7,W,Winter,6581138,69639879.17,10
usa_7,1/7/2024,USA,New York,10.1,15,146.8,151,Heatwave,Koeppen-C,Temperate,Wetland,10.8,4,SW,Winter,1120667,37229210.43,10
usa_8,1/8/2024,USA,New York,44.7,63,21.4,259,None,Koeppen-D,Temperate,Forest,47.9,16.5,SE,Winter,1843563,77632646.09,6
usa_9,1/9/2024,USA,New York,35.9,31,67.1,224,Drought,Koeppen-A,Temperate,Wetland,37.4,27.1,SW,Winter,8253685,17434523.64,8
usa_10,1/10/2024,USA,New York,6.5,89,36.4,478,Flood,Koeppen-A,Temperate,Tundra,10.9,3,E,Winter,1259992,2654349.32,6
usa_11,1/11/2024,USA,New York,23.5,41,133,178,None,Koeppen-C,Temperate,Forest,25.6,13.4,NE,Winter,6593309,30102625.33,6
usa_12,1/12/2024,USA,New York,-3.2,58,133.9,484,None,Koeppen-A,Temperate,Grassland,-0.3,26.5,SW,Winter,3851666,69495787.33,7
usa_13,1/13/2024,USA,New York,-9.9,66,46.6,455,Drought,Koeppen-D,Temperate,Grassland,-6.6,6.7,S,Winter,4431178,55493391.21,6
usa_14,1/14/2024,USA,New York,13.8,91,145.2,102,None,Koeppen-B,Temperate,Forest,18.4,32.7,E,Winter,5726323,51829474.43,5
usa_15,1/15/2024,USA,New York,18.9,62,8,48,None,Koeppen-C,Temperate,Desert,22,13.4,W,Winter,176078,11624454.22,9
usa_16,1/16/2024,USA,New York,19.8,89,3.1,487,Hurricane,Koeppen-C,Temperate,Desert,24.2,35.2,N,Winter,407847,27744329.76,5
usa_17,1/17/2024,USA,New York,6.2,10,173.3,230,Heatwave,Koeppen-C,Temperate,Tundra,6.7,4.8,S,Winter,218040,52214001.09,2
usa_18,1/18/2024,USA,New York,4.9,51,34.5,489,None,Koeppen-A,Temperate,Desert,7.5,6,N,Winter,8504876,99047430.87,1
usa_19,1/19/2024,USA,New York,44.9,77,128.3,222,None,Koeppen-B,Temperate,Desert,48.8,37.2,NW,Winter,9812902,77395074.61,7
usa_20,1/20/2024,USA,New York,-7.2,65,67.7,111,Drought,Koeppen-A,Temperate,Grassland,-4,39.4,S,Winter,2177549,86810155.26,4
usa_21,1/21/2024,USA,New York,-3.1,87,11.3,411,None,Koeppen-B,Temperate,Forest,1.3,7.3,SE,Winter,4455819,16274461.21,5
usa_22,1/22/2024,USA,New York,-6.4,71,48.9,195,None,Koeppen-C,Temperate,Wetland,-2.9,16.5,N,Winter,1439655,50215669.21,1
usa_23,1/23/2024,USA,New York,-0.8,84,186,465,Heatwave,Koeppen-A,Temperate,Wetland,3.4,11.4,S,Winter,2787196,1594678.16,8
usa_24,1/24/2024,USA,New York,-2.2,65,60,497,None,Koeppen-B,Temperate,Wetland,1,5.2,NE,Winter,7311111,18980266.75,8
usa_25,1/25/2024,USA,New York,-2.5,55,151,248,None,Koeppen-B,Temperate,Desert,0.2,37.2,SE,Winter,8800953,27748675.06,4
usa_26,1/26/2024,USA,New York,11.7,54,161.5,183,None,Koeppen-C,Temperate,Forest,14.4,8.7,S,Winter,7681300,99657963.09,8
usa_27,1/27/2024,USA,New York,25.6,42,158.6,443,None,Koeppen-C,Temperate,Tundra,27.7,3.9,N,Winter,2349099,20041151.14,4
usa_28,1/28/2024,USA,New York,30.2,50,15.7,445,Drought,Koeppen-C,Temperate,Wetland,32.7,23.1,NE,Winter,6354519,75223100.4,7
usa_29,1/29/2024,USA,New York,-8.2,94,89.4,446,None,Koeppen-D,Temperate,Desert,-3.5,30.1,SW,Winter,6400387,27608956.33,7
usa_30,1/30/2024,USA,New York,25.4,65,143.3,64,None,Koeppen-C,Temperate,Tundra,28.6,20.5,NW,Winter,4051286,19941187.75,10
usa_31,1/31/2024,USA,New York,5.8,42,118.5,41,None,Koeppen-C,Temperate,Forest,7.9,1.7,NE,Winter,7225651,49299816.96,9
usa_32,2/1/2024,USA,New York,16,23,13.2,391,None,Koeppen-B,Temperate,Forest,17.1,38.8,SE,Winter,2318073,33523831.51,10
usa_33,2/2/2024,USA,New York,27.7,74,114.8,440,None,Koeppen-B,Temperate,Grassland,31.4,39.5,W,Winter,3569482,45440092.64,5
usa_34,2/3/2024,USA,New York,1.7,69,41.2,36,None,Koeppen-B,Temperate,Grassland,5.2,33.1,SE,Winter,9690064,35903558.12,4
usa_35,2/4/2024,USA,New York,7.7,19,159.8,361,None,Koeppen-A,Temperate,Forest,8.7,23.6,W,Winter,5088793,66635920.25,10
usa_36,2/5/2024,USA,New York,38.3,55,110,406,None,Koeppen-C,Temperate,Grassland,41,7,W,Winter,7883482,50730200.13,4
usa_37,2/6/2024,USA,New York,-8.1,32,197,112,None,Koeppen-B,Temperate,Grassland,-6.5,19,NW,Winter,4720404,46368240.88,4
usa_38,2/7/2024,USA,New York,34.1,32,161.2,97,None,Koeppen-D,Temperate,Desert,35.7,15.7,NE,Winter,9510893,60789382.89,9
usa_39,2/8/2024,USA,New York,38.8,93,198.1,377,None,Koeppen-D,Temperate,Grassland,43.4,10.9,W,Winter,6123649,64373922.93,10
usa_40,2/9/2024,USA,New York,-0.8,92,108.5,495,None,Koeppen-C,Temperate,Desert,3.8,11.8,SW,Winter,8502508,2028819.27,8
usa_41,2/10/2024,USA,New York,38.9,53,154.2,38,None,Koeppen-C,Temperate,Grassland,41.5,27.1,NW,Winter,6895794,43085232.32,10
usa_42,2/11/2024,USA,New York,38.2,93,169.4,345,None,Koeppen-D,Temperate,Wetland,42.9,15.8,NE,Winter,9226739,52328505.44,6
usa_43,2/12/2024,USA,New York,26.6,53,46.5,290,Flood,Koeppen-A,Temperate,Forest,29.2,36.6,W,Winter,4159723,78034932.09,8
usa_44,2/13/2024,USA,New York,1.5,80,67.4,189,None,Koeppen-D,Temperate,Tundra,5.5,9.5,NE,Winter,2130323,12100009.03,7
usa_45,2/14/2024,USA,New York,23.8,60,81.5,170,None,Koeppen-A,Temperate,Tundra,26.8,2.1,W,Winter,9176127,48330381.79,9
usa_46,2/15/2024,USA,New York,39.8,52,133.2,76,None,Koeppen-A,Temperate,Tundra,42.4,7.3,SE,Winter,4130237,54657302.59,1
usa_47,2/16/2024,USA,New York,20.9,27,160.3,401,None,Koeppen-C,Temperate,Grassland,22.2,21.9,SE,Winter,2820786,25511651.98,4
usa_48,2/17/2024,USA,New York,4,97,128.3,238,None,Koeppen-A,Temperate,Wetland,8.9,23.4,SE,Winter,2742701,10441425.11,6
usa_49,2/18/2024,USA,New York,44.1,31,151,327,None,Koeppen-A,Temperate,Desert,45.6,18.2,N,Winter,7475786,48837759.21,9
usa_50,2/19/2024,USA,New York,14.7,16,87,388,None,Koeppen-B,Temperate,Wetland,15.5,12.6,SE,Winter,1595422,95615509.91,2
usa_51,2/20/2024,USA,New York,12.7,38,176.2,437,None,Koeppen-C,Temperate,Grassland,14.6,13.7,SW,Winter,3563041,39355600.51,10
usa_52,2/21/2024,USA,New York,30.5,32,143.5,362,Flood,Koeppen-A,Temperate,Desert,32.1,5.3,NW,Winter,3825168,33523178.82,10
usa_53,2/22/2024,USA,New York,26.2,71,3.6,242,Flood,Koeppen-A,Temperate,Wetland,29.8,22.1,E,Winter,3648322,67493470.29,4
usa_54,2/23/2024,USA,New York,40.4,30,190.4,332,None,Koeppen-C,Temperate,Tundra,41.9,36.8,SW,Winter,6876490,61917076.14,6
usa_55,2/24/2024,USA,New York,2.2,57,46.9,367,Hurricane,Koeppen-B,Temperate,Grassland,5.1,5.5,S,Winter,3603271,73236335.93,10
usa_56,2/25/2024,USA,New York,13.2,97,13.2,448,Flood,Koeppen-D,Temperate,Grassland,18.1,15.6,SW,Winter,3191579,87522462.06,9
usa_57,2/26/2024,USA,New York,35.2,65,151.1,102,None,Koeppen-C,Temperate,Wetland,38.5,3.5,NW,Winter,3073250,15333663.86,2
usa_58,2/27/2024,USA,New York,44.9,100,191.9,181,None,Koeppen-B,Temperate,Grassland,49.9,13.5,NE,Winter,6356232,30361874.06,2
usa_59,2/28/2024,USA,New York,13.9,61,107.3,185,None,Koeppen-A,Temperate,Desert,16.9,18.3,W,Winter,954140,57330664.75,3
usa_60,2/29/2024,USA,New York,11.5,63,179.4,334,None,Koeppen-D,Temperate,Forest,14.7,37.4,NW,Winter,1951909,82942780.41,9
usa_61,3/1/2024,USA,New York,38.7,41,128.6,458,None,Koeppen-B,Temperate,Desert,40.8,10.8,NE,Spring,6865544,61551550.17,6
usa_62,3/2/2024,USA,New York,26.9,46,197.1,173,None,Koeppen-A,Temperate,Wetland,29.2,16.8,W,Spring,4123633,78768617.92,8
usa_63,3/3/2024,USA,New York,13.5,52,185.1,131,Flood,Koeppen-C,Temperate,Grassland,16.1,6.6,SE,Spring,3498844,27150526.44,5
usa_64,3/4/2024,USA,New York,30.4,30,41.2,49,None,Koeppen-B,Temperate,Forest,31.9,24.6,E,Spring,7018881,48423039.37,6
usa_65,3/5/2024,USA,New York,-4.1,50,153.4,31,None,Koeppen-A,Temperate,Desert,-1.6,14.2,NW,Spring,9858769,66419772.11,5
usa_66,3/6/2024,USA,New York,12.6,93,2.4,343,None,Koeppen-D,Temperate,Desert,17.2,20.7,SW,Spring,1559592,94465417.88,8
usa_67,3/7/2024,USA,New York,-7.9,59,192.2,188,None,Koeppen-C,Temperate,Tundra,-5,9.7,SW,Spring,7144996,37075393.17,6
usa_68,3/8/2024,USA,New York,37.3,39,26.9,417,Heatwave,Koeppen-B,Temperate,Desert,39.2,26.6,W,Spring,8720934,17610760.32,8
usa_69,3/9/2024,USA,New York,20.8,40,33.9,334,None,Koeppen-C,Temperate,Forest,22.8,29.4,S,Spring,3551418,57994053.32,6
usa_70,3/10/2024,USA,New York,-7.8,46,53.6,491,None,Koeppen-A,Temperate,Desert,-5.5,17.5,N,Spring,7966936,51909078.93,3
usa_71,3/11/2024,USA,New York,3.1,23,176.8,220,Drought,Koeppen-C,Temperate,Forest,4.2,4.1,E,Spring,8920220,34088563.07,3
usa_72,3/12/2024,USA,New York,-8.5,72,40.8,249,None,Koeppen-A,Temperate,Grassland,-4.9,12.1,E,Spring,8082611,16500632.02,1
usa_73,3/13/2024,USA,New York,-1,97,194.4,255,None,Koeppen-B,Temperate,Grassland,3.9,20.6,W,Spring,4637825,99649651.16,8
usa_74,3/14/2024,USA,New York,40.2,78,9,38,None,Koeppen-B,Temperate,Forest,44.1,10.9,NE,Spring,2217161,83448133.98,3
usa_75,3/15/2024,USA,New York,-3.7,52,103.7,331,None,Koeppen-A,Temperate,Wetland,-1.1,29.5,E,Spring,6967717,94190167.23,8
usa_76,3/16/2024,USA,New York,37.7,34,177.2,452,None,Koeppen-B,Temperate,Desert,39.4,17.1,NE,Spring,6982654,64807378.48,3
usa_77,3/17/2024,USA,New York,42.2,36,35,188,None,Koeppen-B,Temperate,Forest,44,14.7,N,Spring,7854401,11769721.47,6
usa_78,3/18/2024,USA,New York,26.1,70,134.1,338,None,Koeppen-B,Temperate,Grassland,29.6,14.9,SE,Spring,3660871,95536849.07,4
usa_79,3/19/2024,USA,New York,13.3,81,28,444,None,Koeppen-B,Temperate,Grassland,17.4,12.7,NE,Spring,1004056,32393486.41,10
usa_80,3/20/2024,USA,New York,-5.2,82,146.9,361,None,Koeppen-D,Temperate,Desert,-1.1,39.2,NE,Spring,2326554,53989508.46,7
usa_81,3/21/2024,USA,New York,-9.4,37,111.7,398,None,Koeppen-C,Temperate,Grassland,-7.6,23.3,SW,Spring,4723923,70763128.45,10
usa_82,3/22/2024,USA,New York,13.2,99,185.4,473,None,Koeppen-A,Temperate,Grassland,18.1,21.6,NE,Spring,2744683,41936051.29,8
usa_83,3/23/2024,USA,New York,19.6,27,168.7,441,None,Koeppen-B,Temperate,Desert,21,14.2,S,Spring,3368644,14443560.4,2
usa_84,3/24/2024,USA,New York,-2.8,23,98.3,79,None,Koeppen-B,Temperate,Wetland,-1.6,23.6,NE,Spring,3411338,73997079.38,2
usa_85,3/25/2024,USA,New York,29.6,39,115.3,274,None,Koeppen-B,Temperate,Forest,31.6,33.3,N,Spring,4730945,94741016.94,10
usa_86,3/26/2024,USA,New York,28.8,58,190.5,434,None,Koeppen-D,Temperate,Grassland,31.7,27.4,E,Spring,6708664,26761650.46,2
usa_87,3/27/2024,USA,New York,-7.9,98,51.7,154,Drought,Koeppen-D,Temperate,Forest,-3,9.1,NW,Spring,9470542,99152142.89,5
usa_88,3/28/2024,USA,New York,0.5,60,108.2,270,None,Koeppen-B,Temperate,Desert,3.5,38.9,S,Spring,7825350,91098985.58,8
usa_89,3/29/2024,USA,New York,10,27,158.3,139,None,Koeppen-B,Temperate,Grassland,11.3,17.1,SE,Spring,6222189,71306242.89,1
usa_90,3/30/2024,USA,New York,9.2,73,143.4,404,None,Koeppen-A,Temperate,Wetland,12.8,35.2,S,Spring,5086582,9555493.07,6
usa_91,3/31/2024,USA,New York,-8.5,54,86.6,198,None,Koeppen-B,Temperate,Wetland,-5.8,37.6,NW,Spring,9914674,24064573.58,7
usa_92,4/1/2024,USA,New York,36.4,42,120.3,223,Hurricane,Koeppen-A,Temperate,Forest,38.5,11.9,E,Spring,7318075,7291670.69,1
usa_93,4/2/2024,USA,New York,-2.7,14,195.6,277,None,Koeppen-C,Temperate,Grassland,-2,21.1,NE,Spring,105473,4868736.72,2
usa_94,4/3/2024,USA,New York,-6,13,144.3,188,None,Koeppen-D,Temperate,Grassland,-5.3,33.7,N,Spring,4582949,46986150.79,9
usa_95,4/4/2024,USA,New York,20,100,128.2,361,Hurricane,Koeppen-B,Temperate,Grassland,25,16.7,S,Spring,3725669,86685458.52,4
usa_96,4/5/2024,USA,New York,16.6,28,23.1,123,None,Koeppen-A,Temperate,Forest,18,21,S,Spring,269196,73170636.19,2
usa_97,4/6/2024,USA,New York,14.5,14,146.6,216,None,Koeppen-A,Temperate,Grassland,15.2,24.8,NE,Spring,9375770,14055299.34,6
usa_98,4/7/2024,USA,New York,-0.2,55,96.1,148,None,Koeppen-A,Temperate,Desert,2.5,0.7,W,Spring,7765079,12897008.62,8
usa_99,4/8/2024,USA,New York,28.7,14,182.4,445,None,Koeppen-A,Temperate,Desert,29.4,4.6,SW,Spring,1326794,3951622.93,10
usa_100,4/9/2024,USA,New York,-2.9,65,176.1,129,Hurricane,Koeppen-D,Temperate,Wetland,0.4,17.6,SE,Spring,7333360,93971902.13,4
usa_101,4/10/2024,USA,New York,35.1,43,120.6,351,None,Koeppen-A,Temperate,Grassland,37.2,6,W,Spring,6839471,47463558.29,1
usa_102,4/11/2024,USA,New York,28.2,73,159.2,258,None,Koeppen-B,Temperate,Tundra,31.9,13.3,S,Spring,4620124,98055930.27,3
usa_103,4/12/2024,USA,New York,11.5,18,183.1,277,None,Koeppen-A,Temperate,Forest,12.4,36.3,E,Spring,2082248,59964206.07,3
usa_104,4/13/2024,USA,New York,15.5,26,198.7,91,None,Koeppen-D,Temperate,Wetland,16.8,17.3,N,Spring,4728751,37228109.22,2
usa_105,4/14/2024,USA,New York,2,47,65,33,None,Koeppen-B,Temperate,Desert,4.3,7.5,E,Spring,2955725,44848489.22,4
usa_106,4/15/2024,USA,New York,36.1,76,41.1,264,None,Koeppen-A,Temperate,Tundra,39.9,5.3,E,Spring,6500673,85579127.28,9
usa_107,4/16/2024,USA,New York,21.4,96,136.5,105,None,Koeppen-A,Temperate,Tundra,26.2,10.7,SE,Spring,2865862,35744414.28,10
usa_108,4/17/2024,USA,New York,-0.8,94,41.7,335,Drought,Koeppen-A,Temperate,Grassland,3.9,36.6,NE,Spring,2175458,44150900.49,1
usa_109,4/18/2024,USA,New York,17.7,22,147.2,204,None,Koeppen-A,Temperate,Forest,18.8,0.5,NW,Spring,8474106,70520637.95,10
usa_110,4/19/2024,USA,New York,22.7,43,122.4,251,None,Koeppen-D,Temperate,Grassland,24.8,20.8,NW,Spring,8071206,9441947.53,9
usa_111,4/20/2024,USA,New York,35.1,66,74.2,488,None,Koeppen-B,Temperate,Tundra,38.4,11.1,W,Spring,9632931,84997570.61,7
usa_112,4/21/2024,USA,New York,-5.9,46,131.7,65,None,Koeppen-B,Temperate,Forest,-3.6,13.8,N,Spring,75073,62795529.74,5
usa_113,4/22/2024,USA,New York,6,13,154.5,473,None,Koeppen-C,Temperate,Forest,6.7,38.2,W,Spring,6885320,55826050.57,8
usa_114,4/23/2024,USA,New York,-3.3,51,117,133,None,Koeppen-C,Temperate,Wetland,-0.7,18.3,SW,Spring,7004679,6581295.35,9
usa_115,4/24/2024,USA,New York,7.2,10,83.2,318,None,Koeppen-B,Temperate,Desert,7.7,24.2,SE,Spring,656929,64172887.45,4
usa_116,4/25/2024,USA,New York,15.3,53,135.9,106,None,Koeppen-C,Temperate,Tundra,18,31.9,E,Spring,7114206,74166851.47,6
usa_117,4/26/2024,USA,New York,35.1,50,185.3,411,None,Koeppen-A,Temperate,Forest,37.6,34.3,NW,Spring,12031,22756674.99,3
usa_118,4/27/2024,USA,New York,-9.6,50,64,170,Heatwave,Koeppen-A,Temperate,Forest,-7.1,3.6,E,Spring,1420431,56746989.53,10
usa_119,4/28/2024,USA,New York,24.3,19,63.3,259,None,Koeppen-D,Temperate,Forest,25.2,1.1,N,Spring,6615400,3499515.29,2
usa_120,4/29/2024,USA,New York,-1.6,35,116.4,16,None,Koeppen-B,Temperate,Forest,0.1,5.6,S,Spring,8075866,99091133.56,3
usa_121,4/30/2024,USA,New York,11.3,66,173.9,278,Flood,Koeppen-A,Temperate,Tundra,14.6,13.5,E,Spring,8046758,36879449.55,8
usa_122,5/1/2024,USA,New York,18.9,82,82.6,474,None,Koeppen-D,Temperate,Tundra,23,22.5,E,Spring,5126815,60537748.74,10
